tag,M,K,N,v4c_profile,Mc,Nc,Kc,v4c_path,packA_MiB,packB_MiB,reps,acc_ms,acc_gf,acc_sp,v4c_ms,v4c_gf,v4c_sp,mp_ms,mp_gf,mp_sp,v4c_over_acc,v4c_over_mp,err_v4c,err_acc,err_mp
ds-id2,64,1536,24576,v4a,16,512,2048,native,0.094,3.000,62,8.0099,603.2,0.08,5.6297,858.3,0.62,5.6156,860.4,0.24,1.4228,0.9975,0.000e+00,0.000e+00,0.000e+00
ds-id3,64,512,32768,v4a,16,512,2048,native,0.031,1.000,142,3.4822,616.7,0.32,2.5555,840.3,0.47,2.4549,874.8,0.59,1.3626,0.9606,0.000e+00,0.000e+00,0.000e+00
ds-id4,64,16384,7168,v4a,16,512,2048,native,0.125,4.000,21,23.5075,639.5,0.11,17.8179,843.7,0.12,16.9308,887.9,0.13,1.3193,0.9502,0.000e+00,2.395e-06,2.395e-06
ds-id5,64,7168,4096,v4a,16,512,2048,native,0.125,4.000,79,6.2275,603.5,0.86,4.9768,755.1,1.02,3.8432,977.8,0.08,1.2513,0.7722,0.000e+00,1.564e-06,1.564e-06
ds-id6,64,2048,7168,v4a,16,512,2048,native,0.125,4.000,175,2.8613,656.7,1.39,2.1457,875.7,0.15,2.0477,917.6,0.30,1.3335,0.9543,0.000e+00,0.000e+00,0.000e+00
ds-id7,128,7168,2112,v4a,16,512,2048,native,0.125,4.000,155,2.9647,1307.2,0.34,3.2229,1202.5,0.21,2.8092,1379.6,0.27,0.9199,0.8716,0.000e+00,1.560e-06,1.560e-06
ds-id8,128,1536,24576,v4a,16,512,2048,native,0.094,3.000,46,10.7177,901.7,0.09,8.4579,1142.6,0.14,8.6056,1122.9,0.61,1.2672,1.0175,0.000e+00,0.000e+00,0.000e+00
ds-id9,128,512,32768,v4a,16,512,2048,native,0.031,1.000,101,4.9286,871.4,0.35,3.8560,1113.8,0.36,3.6943,1162.6,0.57,1.2782,0.9581,0.000e+00,0.000e+00,0.000e+00
ds-id10,128,16384,7168,v4a,16,512,2048,native,0.125,4.000,14,34.9504,860.2,1.88,27.1623,1106.9,0.16,26.7007,1126.0,0.16,1.2867,0.9830,0.000e+00,2.391e-06,2.391e-06
ds-id11,128,7168,4096,v4a,16,512,2048,native,0.125,4.000,59,8.3822,896.7,0.50,6.8094,1103.8,0.43,5.9718,1258.6,0.17,1.2310,0.8770,0.000e+00,1.558e-06,1.558e-06
ds-id12,128,2048,7168,v4a,16,512,2048,native,0.125,4.000,129,3.9671,947.3,5.03,3.2445,1158.3,0.62,3.1904,1177.9,0.19,1.2227,0.9833,0.000e+00,0.000e+00,0.000e+00
ds-id13,4096,7168,2112,v4b,32,1024,2048,native,0.250,8.000,6,80.5926,1538.8,6.43,80.2104,1546.1,10.02,82.8254,1497.3,7.32,1.0048,1.0326,0.000e+00,1.557e-06,1.557e-06
ds-id14,4096,1536,24576,v4b,32,1024,2048,native,0.188,6.000,3,193.9475,1594.4,6.46,197.5260,1565.6,5.97,222.6710,1388.8,15.14,0.9819,1.1273,0.000e+00,0.000e+00,0.000e+00
ds-id15,4096,512,32768,v4b,32,1024,2048,native,0.062,2.000,5,93.6311,1467.9,18.49,88.4586,1553.7,5.14,92.8079,1480.9,8.77,1.0585,1.0492,0.000e+00,0.000e+00,0.000e+00
ds-id16,4096,16384,7168,v4b,32,1024,2048,native,0.250,8.000,3,650.0405,1480.0,4.48,630.0425,1527.0,2.24,687.9387,1398.5,0.57,1.0317,1.0919,0.000e+00,2.392e-06,2.392e-06
ds-id17,4096,7168,4096,v4b,32,1024,2048,native,0.250,8.000,3,160.3386,1500.1,3.00,153.6374,1565.5,1.13,161.3764,1490.4,2.57,1.0436,1.0504,0.000e+00,1.557e-06,1.557e-06
ds-id18,4096,2048,7168,v4b,32,1024,2048,native,0.250,8.000,6,74.7025,1609.8,0.77,73.1366,1644.3,3.07,82.3516,1460.3,2.55,1.0214,1.1260,0.000e+00,0.000e+00,0.000e+00
llama-id19,4096,4096,256,v4a,16,512,2048,native,0.125,2.000,77,6.2406,1376.5,3.51,6.4759,1326.4,3.66,6.0744,1414.1,2.93,0.9637,0.9380,0.000e+00,1.090e-06,1.090e-06
llama-id20,11008,4096,256,v4a,16,512,2048,native,0.125,2.000,28,16.6892,1383.3,3.67,17.6524,1307.8,4.43,16.5326,1396.4,5.28,0.9454,0.9366,0.000e+00,1.090e-06,1.090e-06
llama-id21,4096,11008,256,v4a,16,512,2048,native,0.125,2.000,27,16.7656,1377.0,4.28,17.5438,1315.9,3.23,16.2928,1416.9,3.08,0.9556,0.9287,0.000e+00,1.961e-06,1.961e-06
llama-id22,5120,5120,256,v4a,16,512,2048,native,0.125,2.000,49,9.8297,1365.4,3.63,10.0909,1330.1,2.89,9.4767,1416.3,3.68,0.9741,0.9391,0.000e+00,1.268e-06,1.268e-06
llama-id23,13824,5120,256,v4a,16,512,2048,native,0.125,2.000,18,26.3804,1373.7,4.57,27.1669,1333.9,3.16,25.6501,1412.8,1.35,0.9710,0.9442,0.000e+00,1.268e-06,1.268e-06
llama-id24,5120,13824,256,v4a,16,512,2048,native,0.125,2.000,18,26.4679,1369.2,3.66,27.5452,1315.6,1.52,25.7731,1406.1,2.16,0.9609,0.9357,0.000e+00,2.198e-06,2.198e-06
